               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12236,            0.028571,            0.030013,           0.0014462,             0.10036,          0.00095315,          0.00024674,             0.11346,            0.025402,            0.024779,              0.0937,              0.0007,              0.0007
                   1,             0.10766,            0.025265,            0.022322,           0.0013297,             0.19708,           0.0072718,            0.002428,            0.093154,            0.025684,            0.015208,            0.086351,           0.0013515,           0.0013515
                   2,             0.09436,            0.025051,            0.015658,           0.0016869,             0.40693,            0.045455,            0.012665,            0.085065,            0.025292,            0.010216,            0.078845,           0.0018446,           0.0018446
                   3,            0.081635,            0.024931,            0.010407,            0.021437,             0.39416,             0.04811,            0.016485,            0.075589,            0.024941,           0.0083515,            0.071179,           0.0021793,           0.0021793
                   4,             0.07523,            0.023837,           0.0081975,             0.60481,             0.10766,            0.058972,            0.017296,            0.069864,            0.024637,           0.0075302,            0.063356,           0.0023556,           0.0023556
                   5,            0.069667,            0.026043,            0.007201,             0.59721,             0.15328,            0.070482,            0.024516,             0.06883,            0.024136,           0.0067936,            0.055374,           0.0023735,           0.0023735
                   6,            0.065596,            0.023946,           0.0067796,             0.60055,              0.1502,            0.078265,            0.030121,            0.072789,            0.022661,           0.0062275,            0.047233,            0.002233,            0.002233
                   7,            0.064084,            0.023752,           0.0064615,             0.59137,             0.15146,            0.080063,             0.03197,            0.064667,            0.022837,            0.005829,            0.038934,           0.0019341,           0.0019341
                   8,            0.060612,            0.023739,           0.0057162,             0.60711,             0.24088,            0.099507,            0.045531,            0.057981,            0.022927,           0.0055582,            0.030477,           0.0014768,           0.0014768
                   9,             0.05551,            0.023795,           0.0051328,             0.61524,             0.27709,             0.10859,            0.052092,            0.054363,            0.023021,           0.0053989,            0.021861,           0.0008611,           0.0008611
